Circuit,County
1,Escambia
1,Okaloosa
1,Walton
1,Santa Rosa
2,Franklin
2,Gadsden
2,Leon
2,Liberty
2,Wakulla
2,Jefferson
3,Columbia
3,Dixie
3,Lafayette
3,Madison
3,Suwannee
3,Taylor
3,Hamilton
4,Clay
4,Duval
4,Nassau
5,Citrus
5,Hernando
5,Sumter
5,Lake
5,Marion
6,Pasco
6,Pinellas
7,Flagler
7,Putnam
7,St. Johns
7,Volusia
8,Alachua
8,Baker
8,Bradford
8,Gilchrist
8,Levy
8,Union
9,Orange
9,Osceola
10,Hardee
10,Highlands
10,Polk
11,Miami-Dade
12,DeSoto
12,Manatee
12,Sarasota
13,Hillsborough
14,Bay
14,Calhoun
14,Holmes
14,Jackson
14,Washington
14,Gulf
15,Palm Beach
16,Monroe
17,Broward
18,Brevard
18,Seminole
19,Indian River
19,Martin
19,St. Lucie
19,Okeechobee
20,Charlotte
20,Collier
20,Hendry
20,Lee
20,Glades
